municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
MARCELINO VIEIRA,RIO GRANDE DO NORTE,Caatinga,-6.298844903640257,-38.17913788008565,14.996425,Alto,0.12053668025532308,-0.992708874098054,1.4945333333333333,37.93333333333333
MARCELÂNDIA,MATO GROSSO,Amazônia,-10.892544516868055,-54.03348264380308,34.29558,Alto,0.12053668025532308,-0.992708874098054,241.8857803468208,25.497109826589597
MARCIONÍLIO SOUZA,BAHIA,Caatinga,-13.168364802030458,-40.71076638071066,11.645462,Alto,0.12053668025532308,-0.992708874098054,1.7466393442622952,29.540983606557376
MARCO,CEARÁ,Caatinga,-3.167655699558174,-40.22443636082475,13.77802,Alto,0.12053668025532308,-0.992708874098054,1.2851190476190477,47.36904761904762
MARCOS PARENTE,PIAUÍ,Cerrado,-7.066473152632427,-43.89039075768797,20.743134,Alto,0.12053668025532308,-0.992708874098054,2.216639344262295,26.71311475409836
MARECHAL CÂNDIDO RONDON,PARANÁ,Mata Atlântica,-24.55170287356321,-54.11842183908046,8.258603,Médio,0.12053668025532308,-0.992708874098054,3.2167499999999998,5.125
MARECHAL DEODORO,ALAGOAS,Mata Atlântica,-9.721841175656984,-35.911186352697094,31.756546,Alto,0.12053668025532308,-0.992708874098054,1.946326530612245,0.0
MARECHAL FLORIANO,ESPÍRITO SANTO,Mata Atlântica,-20.425925600000003,-40.83826,9.688325,Médio,0.12053668025532308,-0.992708874098054,1.9937500000000001,23.666666666666668
MARECHAL THAUMATURGO,ACRE,Amazônia,-9.001578855969129,-72.63626349246856,15.156176,Alto,0.12053668025532308,-0.992708874098054,137.76861386138614,8.138613861386139
MAREMA,SANTA CATARINA,Mata Atlântica,-26.813758275862067,-52.640413793103455,5.9846478,Médio,0.12053668025532308,-0.992708874098054,2.007058823529412,6.764705882352941
MARI,PARAÍBA,Caatinga,-7.056165040650407,-35.289408699186986,9.9105,Médio,0.12053668025532308,-0.992708874098054,1.0153333333333334,19.0
MARIANA,MINAS GERAIS,Mata Atlântica,-20.287955143845096,-43.41369528457814,11.886541,Alto,0.12053668025532308,-0.992708874098054,2.269024390243902,29.9390243902439
MARIANA PIMENTEL,RIO GRANDE DO SUL,Pampa,-30.335523253012042,-51.57871891566266,3.947539,Baixo,0.12053668025532308,-0.992708874098054,0.48176470588235293,3.735294117647059
MARIANÓPOLIS DO TOCANTINS,TOCANTINS,Cerrado,-9.752164746051909,-49.70599291976766,24.651535,Alto,0.12053668025532308,-0.992708874098054,37.35,29.613636363636363
MARICÁ,RIO DE JANEIRO,Mata Atlântica,-22.914439956647403,-42.8497850447977,6.789732,Médio,0.12053668025532308,-0.992708874098054,1.4413253012048193,8.180722891566266
MARILENA,PARANÁ,Mata Atlântica,-22.69992681939799,-53.09465039799332,17.281425,Alto,0.12053668025532308,-0.992708874098054,0.6313333333333334,9.666666666666666
MARILÂNDIA,ESPÍRITO SANTO,Mata Atlântica,-19.422222708333333,-40.5309003125,9.151101,Médio,0.12053668025532308,-0.992708874098054,0.9528000000000001,20.506666666666668
MARINGÁ,PARANÁ,Mata Atlântica,-23.407065112385325,-51.96125194495411,13.466213,Alto,0.12053668025532308,-0.992708874098054,12.36047619047619,7.190476190476191
MARITUBA,PARÁ,Amazônia,-1.3711186363636365,-48.32016272727273,9.014741,Médio,0.12053668025532308,-0.992708874098054,3.7653846153846158,3.923076923076923
MARIZÓPOLIS,PARAÍBA,Caatinga,-6.816079512195123,-38.33536726829268,14.992849,Alto,0.12053668025532308,-0.992708874098054,0.8936363636363636,28.10909090909091
MARLIÉRIA,MINAS GERAIS,Mata Atlântica,-19.68874763302753,-42.6492430642202,14.501222,Alto,0.12053668025532308,-0.992708874098054,10.783,60.65
MARMELEIRO,PARANÁ,Mata Atlântica,-26.24140138461539,-53.100948,5.3410316,Médio,0.12053668025532308,-0.992708874098054,1.4753125,5.4375
MARMELÓPOLIS,MINAS GERAIS,Mata Atlântica,-22.468994285714288,-45.18999047619048,7.258809,Médio,0.12053668025532308,-0.992708874098054,6.493,10.9
MARQUES DE SOUZA,RIO GRANDE DO SUL,Mata Atlântica,-29.30143125,-52.146270625,3.3386097,Baixo,0.12053668025532308,-0.992708874098054,0.022222222222222223,3.7777777777777777
MARQUINHO,PARANÁ,Mata Atlântica,-25.110286060606064,-52.2495203030303,6.965861,Médio,0.12053668025532308,-0.992708874098054,0.766984126984127,5.317460317460317
MARTINHO CAMPOS,MINAS GERAIS,Cerrado,-19.44995175832438,-45.16710617830287,11.989011,Alto,0.12053668025532308,-0.992708874098054,4.133396226415094,28.12264150943396
